prompt,prompt_length,token_rarity,num_objects,abstractness,attribute_density,spatial_relations,action_verbs,named_entities
a bee on a flower,5,0,1,2,0,1,0,0
a black and white photo of a chain link,9,0,1,4,2,0,0,0
a close up of a black and green number pad,10,0,1,4,2,1,0,0
a flower with a yellow center,6,0,1,3,1,1,0,0
a fossil on a rock with a small animal on it,11,1,3,4,1,3,0,0
a green snake is sitting on a tree branch,9,0,2,3,1,1,1,0
a statue of a knight,5,0,1,3,0,0,0,0
a bird with a long beak,6,1,1,3,1,1,0,0
a ladybug on a plant in the garden,8,1,2,3,0,2,0,0
a blue bird with a red beak is in the water,11,1,3,5,2,2,0,0
a helmet with the word oklahoma on it,8,0,2,3,0,2,0,0
a close up of a dial phone,7,1,1,3,0,1,0,0
a bee on a white flower with green leaves,9,0,2,3,2,2,0,0
a black and white photo of a bridge,8,0,1,4,2,0,0,0
a series of pictures of a computer desk,8,0,2,4,0,0,0,0
a puck with a nhl logo on it,8,1,2,3,0,2,0,0
outdoor furniture set with black and white wicker,8,1,1,2,3,1,1,0
a bird with a long beak standing in the water,10,1,2,4,1,2,1,0
a yellow butterfly on an orange flower,7,1,1,2,1,1,0,0
a window on a roof with a brick wall behind it,11,0,3,4,0,3,0,0
butcher's basics - chopping board,5,4,0,1,1,0,1,0
a snail with a black and white pattern,8,1,1,4,2,1,0,0
a bottle cap with a number on it,8,0,2,3,0,2,0,0
two purple stone earrings with silver wire,7,1,1,1,2,1,0,0
a black and white photo of a long hallway,9,1,1,4,3,0,0,0
a bird is walking through the grass,7,0,2,3,0,1,1,0
a large brass and gold light fixture,7,1,0,2,1,0,0,0
a large body of water,5,0,1,2,1,0,0,0
a clock on a building,5,0,1,2,0,1,0,0
a long line of lights,5,0,1,2,1,0,0,0
a necklace with a crystal pendant and a gold chain,10,2,2,5,1,1,0,0
a circular ceiling with a skylight,6,2,1,3,1,1,0,0
a snow plow on the road at night,8,1,2,3,0,2,0,0
a microphone on a table,5,1,1,2,0,1,0,0
a lamp with a red shade,6,0,1,3,1,1,0,0
a close up of a tree with acorns on it,10,1,3,4,0,3,0,0
bottles of orange soda,4,0,1,1,0,0,0,0
a lionfish swimming in an aquarium,6,2,1,2,1,1,0,0
a circular white circular grill grate,6,4,0,1,3,0,0,0
a series of pictures of a lunch box,8,0,2,4,0,0,0,0
a small orange lizard on top of a green moss,10,2,2,3,2,2,0,0
a black and white photo of a car with a hood ornament,12,1,2,6,4,1,0,0
clifford suspension bridge by london kingdom burrell,7,2,2,1,0,1,0,2
a small bottle of perfume,5,1,1,2,1,0,0,0
a wallet with a card and a note on it,10,0,2,5,0,2,0,0
a black and brown dog with two puppies on her back,11,1,2,3,2,2,0,0
a bird with a red beak standing on top of a dry field,13,1,3,5,2,3,1,0
a panel with red buttons and switches on it,9,2,2,3,1,2,0,0
a vase with a black and gold design on it,10,1,2,4,2,2,0,0
a guitar pick with a fingerprint on it,8,1,2,3,0,2,0,0
a pink and white feather curtain hanging on a wall,10,2,1,3,2,1,1,0
a colorful necklace with a gold clasp and a colorful bead,11,5,1,5,2,1,0,0
two lemons on a tree,5,1,1,1,0,1,0,0
a duck on a towel,5,1,1,2,0,1,0,0
a flat screen tv on a stand,7,0,1,2,1,1,0,0
a golden retriever puppy looking up at the sky,9,1,1,3,1,2,1,0
a hand holding a prescription bottle filled with yellow pills,10,0,2,3,1,1,2,0
a row of bottles,4,0,1,2,0,0,0,0
a bird with a red head and black body,9,0,1,4,2,1,0,0
a close up of a green parrot with bright red eyes,11,1,2,4,3,2,0,0
a black duck swimming in a lake,7,0,1,2,1,1,0,0
a man holding a drill and a drill bit,9,0,1,4,0,0,1,0
a bird standing in the grass,6,0,1,2,0,1,1,0
a speaker and a vase on a table,8,1,1,4,0,1,0,0
a black and orange pumpkin with a heart painted on it,11,1,2,4,2,2,1,0
a necklace with black beads and silver charms,8,3,1,3,2,1,0,0
a scoreboard with a baseball game on it,8,1,2,3,0,2,0,0
"a table with a fan, a water bottle, a vase, and a picture",13,4,1,7,0,1,0,0
a bird standing on a cement wall,7,1,1,2,0,1,1,0
a black dog sitting in the snow,7,0,1,2,1,1,1,0
a black and white photo of a barometer,8,1,1,4,2,0,0,0
a bunch of crabs in a container,7,1,2,3,0,1,0,0
a dog sitting in a field with a frisbee,9,1,2,4,0,2,1,0
a woman wearing a white dress,6,0,1,2,1,0,1,0
a close up of a pineapple with green leaves,9,1,2,4,1,2,0,0
a goat with horns,4,1,1,2,0,1,0,0
a bottle of pills,4,0,1,2,0,0,0,0
a toilet paper holder with two rolls of toilet paper,10,0,2,3,0,1,0,0
three dogs sitting on stairs,5,0,1,0,0,1,1,0
a close up of a pair of jeans with a needle,11,1,3,6,0,2,0,0
a vintage telephone on a pink table,7,0,1,2,2,1,0,0
a woman in black feathers posing for a photo,9,2,2,3,1,1,1,0
a black dog standing on a stone wall,8,0,1,2,1,1,1,0
three milk cans sitting on a table,7,1,1,1,0,1,1,0
two chickens are standing next to each other,8,1,2,4,1,2,1,0
a large crab is sitting on a silver platter,9,2,2,3,2,1,1,0
a bowl of soup with a spoon in it,9,1,3,4,0,2,0,0
a broken egg on a table,6,0,1,2,1,1,0,0
"great grey owl - juneau, alaska",5,4,0,1,1,0,0,1
a red velvet rose with a black butterfly on it,10,2,3,3,2,2,1,0
a computer monitor sitting on a desk,7,0,1,2,0,1,1,0
a water tower on a building with a sign that says up with low fares,15,1,4,6,1,4,1,0
a white bird standing on a grassy field,8,1,1,2,2,1,1,0
a round metal plate with circles on it,8,0,2,2,1,2,0,0
a barrel sitting in the middle of a field,9,0,2,4,0,1,1,0
a dog standing in the grass,6,0,1,2,0,1,1,0
"apple pattern with red, green and blue apples",8,2,1,2,3,1,0,0
a woman wearing a pink apron holding a wooden spoon,10,2,2,3,2,0,2,0
a wooden handle,3,0,0,1,1,0,0,0
a black and white tiled bathroom,6,1,0,2,3,0,0,0
two birds are standing on top of a hill,9,0,3,3,0,2,1,0
a dog with its tongue hanging out is on a leash,11,1,3,5,0,3,1,0
a bird is standing on a green and yellow background,10,0,2,4,2,1,1,0
a person holding a popsicle with a green sauce on it,11,1,3,4,1,2,1,0
a heavy duty binder with a black cover,8,1,1,4,2,1,0,0
a dog with a collar on a brick walkway,9,1,2,4,0,2,0,0
a wooden mannequin sitting on a table with a camera,10,1,2,4,1,2,1,0
a row of colorful plastic dumbbells,6,2,1,2,1,0,0,0
a bowl of soup and a piece of bread on a plate,12,0,3,6,0,1,0,0
a t - shirt that says nerd on it,8,2,3,2,0,1,1,1
a blue purse with a metal buckle on it,9,2,3,3,1,2,0,0
a black and white photo of a camera,8,0,1,4,2,0,0,0
a brown and white guinea,5,0,0,2,2,0,0,0
a magnifying glass on a bookshelf,6,2,1,2,1,1,1,0
a black and white photo of a set of rulers,10,1,2,5,2,0,0,0
personalized guitar pick - silver,4,2,0,0,1,0,2,1
a large room with tables and chairs,7,0,1,3,1,1,0,0
a green and orange insect with a yellow stripe on its back,12,2,2,5,3,2,0,0
a record player with a cassette on top of it,10,1,3,4,0,3,0,0
a man cooking food in a kitchen,7,0,2,2,0,1,1,0
a waffle iron on display,5,1,1,1,0,1,0,0
a dog sitting on a tile floor,7,1,1,2,0,1,1,0
a close up of a duck with a red eye,10,0,2,5,1,2,0,0
black and white photo of a switch on a wall,10,0,2,4,2,1,0,0
a blacksmith's forge with a knife and a hammer,10,2,1,5,0,1,0,0
a young girl with red feathers on her face,9,1,2,2,2,2,0,0
a yellow and red tennis racket toy with a net,10,1,1,4,2,1,0,0
a pan with food in it,6,0,2,2,0,2,0,0
a white iron with green handle sitting on a table,10,0,2,3,2,2,1,0
a group of sailboats racing in the water,8,1,2,3,0,1,1,0
a cup of coffee and nuts on a table,9,0,2,4,0,1,0,0
a black and white photo of a set of beakers,10,1,2,5,2,0,0,0
a brown and white bird standing on a rock,9,0,1,3,1,1,1,0
a bee on a flower,5,0,1,2,0,1,0,0
a close up of a snake's head and neck,10,0,1,4,0,1,0,0
a dog sniffing grass,4,1,1,1,0,0,1,0
a bird sitting on a branch,6,0,1,2,0,1,1,0
three wooden spoons sitting on a table,7,1,1,1,1,1,1,0
a bird sitting on a branch,6,0,1,2,0,1,1,0
a large bird with a long beak standing in front of a tree,13,1,3,5,2,3,1,0
a dog standing on rocks near the water,8,0,2,2,0,2,1,0
a white butterfly on a yellow flower,7,1,1,2,2,1,0,0
a jar with a soap dispenser on top,8,2,2,3,0,2,0,0
a bowl of guacamole with some meat and vegetables,9,1,2,5,0,1,0,0
man wearing a black jacket,5,0,1,1,1,0,1,0
four different colored cups on a wooden table,8,0,1,2,3,1,0,0
a man in a uniform standing next to a wall,10,0,2,4,0,3,1,0
a blue bird sitting on a branch,7,0,1,2,1,1,1,0
a blue and black snake swimming in the water,9,0,1,3,2,1,1,0
a bald eagle sitting on a log,7,1,1,2,1,1,1,0
a matchstick is lit with a flame,7,1,1,4,0,1,1,0
a butterfly is sitting on a tree branch,8,1,2,3,0,1,1,0
a shovel is leaning against a wall,7,2,2,4,0,1,1,0
a woman holding a magnifying glass,6,1,1,2,1,0,2,0
chunky guacamole recipe,3,2,0,0,0,0,0,0
a bottle of crush soda sitting on top of a shelf,11,0,3,4,0,2,1,0
a strainer with a metal mesh,6,2,1,3,0,1,0,0
a television on a wall with a man on it,10,0,3,4,0,3,0,0
a dog running on the ground,6,0,1,2,0,1,1,0
an orange clown fish in an aquarium,7,2,1,2,1,1,0,0
a silver spoon with a hole in it,8,1,2,3,1,2,0,0
a small black and brown dog sitting on a red couch,11,0,1,3,4,1,1,0
a statue of liberty,4,0,1,3,0,0,0,0
three bottles of hair spray on a black background,9,0,3,2,1,1,1,0
a series of pictures of a blue and yellow blimp,10,1,2,5,2,0,0,0
a blue and white van with a bald man on the side,12,1,2,5,3,2,0,0
a pitcher of water sitting on a counter top,9,1,2,3,0,1,1,0
a black and white photo of a window screen,9,0,1,4,2,0,0,0
a butterfly on a flower,5,1,1,2,0,1,0,0
a man sitting at a table in a store,9,0,2,4,0,2,1,0
a small worm on a piece of wood,8,1,2,3,1,1,0,0
a close up of a hot dog and french fries,10,1,1,4,2,1,0,0
a silver clock with blue numbers on the face,9,0,2,3,1,2,0,0
a large pot filled with soup and meat,8,0,1,3,1,1,1,0
a dog standing in tall grass,6,0,1,1,1,1,1,0
a cupcake and a squash on a table,8,2,1,4,0,1,0,0
a slug is on the ground,6,1,2,3,0,1,0,0
"a basket with a stuffed animal, two glasses of champagne and a bottle of wine",15,3,3,7,1,1,1,0
a woman wearing a black shirt with a stethoscope on it,11,1,3,4,1,2,1,0
three small buttons on a bobby pin,7,1,1,1,2,1,0,0
a large clock with roman numerals on the side of a building,12,1,3,5,2,2,0,0
a hummingbird is flying over red flowers,7,1,2,3,1,1,1,0
a silver and gold cocktail shaker with a cloud background,10,2,1,4,2,1,0,0
"a picture of a digital electronic device with the words ""zc-12""",11,3,2,5,2,1,0,0
three people in graduation gowns,5,1,1,0,0,1,0,0
a bird sitting on a fence,6,0,1,2,0,1,1,0
a woman wearing a blue dress and a red backpack,10,1,1,4,2,0,1,0
a black and red spinning wheel with a red and white design,12,1,1,5,4,1,0,0
two foxes playing together in the grass,7,1,1,1,0,1,1,0
a close up of a thistle flower with a green background,11,1,2,5,2,2,0,0
a butterfly is sitting on a yellow flower,8,1,2,3,1,1,1,0
a camera and tripod on a rock,7,1,1,3,1,1,0,0
a close up of a pipe organ,7,0,1,3,0,1,0,0
a group of boats docked in a harbor,8,1,3,3,0,1,1,0
a man in a hat cooking food in a large pot,11,0,2,3,1,2,0,0
a bird with a long beak sitting on a branch,10,1,2,4,1,2,1,0
a modern orange lounge chair with a white base,9,1,1,4,2,1,0,0
two women wearing sunglasses,4,1,1,0,0,0,1,0
a dog standing in front of a large yellow bulldozer,10,1,2,3,2,2,1,0
a fly is sitting in a glass of water,9,0,3,4,0,1,1,0
a pig head on a vase,6,1,1,2,0,1,0,0
a metal pin with a loop on it,8,0,2,3,0,2,0,0
a spinning wheel with a wooden spindle on top,9,2,2,3,1,2,0,0
a bowl filled with guacamole on a table,8,1,2,3,0,2,1,0
a black and white photograph of a cup and saucer,10,1,1,5,2,0,0,0
a bug with long legs and long antennae,8,1,1,3,2,1,0,0
a chicago blackhawks puck with the words chicago blackhawks on it,11,3,3,3,0,2,0,3
an axolotl is standing on top of a rock,9,1,3,4,0,2,1,0
a large white building with a domed roof,8,1,1,3,3,1,0,0
a metal strainer,3,1,0,1,0,0,0,0
a bird sitting on a tree branch with leaves,9,0,2,3,0,2,1,0
a bucket full of baseballs,5,1,1,2,1,0,0,0
a lizard on a rock,5,1,1,2,0,1,0,0
an old typewriter with a white background,7,1,1,3,2,1,0,0
a bird is perched on a branch in a green background,11,1,2,4,1,2,1,0
a glass dish filled with black eggs,7,0,1,2,1,1,1,0
a black and white photo of a statue of a dinosaur,11,1,2,6,2,0,0,0
a sloth is sitting in a tree,7,1,2,3,0,1,1,0
a pink beaded bracelet with a silver cross,8,2,1,3,2,1,1,0
a piggy bank with a dollar sign on it,9,1,2,3,0,2,0,1
a drawing of a superman on a wall,8,0,2,4,0,1,0,0
a girl cutting a piece of paper,7,0,2,3,0,0,1,0
a small purse with coins and a ruler,8,2,1,4,1,1,0,0
a hot dog on a paper plate,7,0,1,2,1,1,0,0
a revolver with a wooden grip and a metal frame,10,1,1,5,1,1,0,0
a glass of juice,4,0,1,2,0,0,0,0
a white moving light on a stand,7,0,1,2,2,1,1,0
a large elephant walking through the woods,7,0,2,2,1,1,1,0
baskets of green peppers,4,2,1,1,1,0,0,0
a cup of coffee on a table,7,0,2,3,0,1,0,0
a mushroom sitting on the ground in the grass,9,1,2,3,0,2,1,0
a small rodent is standing on a toilet paper roll,10,1,2,3,1,1,1,0
a clock in a bamboo box with a white face,10,1,2,4,1,2,0,0
a little girl wearing a red hoodie,7,1,1,2,2,0,1,0
a small dog sitting on the floor in a room,10,0,2,3,1,2,1,0
a woman eating corn,4,0,1,1,0,0,1,0
a clock with a sun on it,7,0,2,3,0,2,0,0
a gong hanging from a ceiling with a speaker,9,1,2,5,0,2,1,0
a wine glass sitting on a table,7,0,1,2,0,1,1,0
a bird with a long beak and long neck,9,1,1,4,2,1,0,0
a clock with a brown face,6,0,1,3,1,1,0,0
a wasp with a yellow and black body sitting on the ground,12,1,2,5,2,2,1,0
a dog laying in the grass with a toy,9,0,2,4,0,2,1,0
a chameleon is sitting on a branch,7,1,2,3,0,1,1,0
a cd case with a cd in it,8,0,2,3,0,2,0,0
two blue buckets with a blue bag inside,8,1,1,2,2,2,0,0
a bird sitting on a tree stump,7,1,1,2,0,1,1,0
a necklace with green and yellow stones on it,9,1,2,3,2,2,0,0
a pink and green shower curtain with geometric shapes,9,3,1,3,3,1,0,0
"a canadian pennant, pencil, and a canadian flag",8,4,0,3,2,0,0,0
a large pipe organ with many pipes in it,9,1,2,3,2,2,0,0
a close up of a vase with a white and red glaze,12,2,2,6,2,2,0,0
a dog with big ears,5,0,1,2,1,1,0,0
a baseball glove on a table,6,1,1,2,0,1,0,0
a close up of a keyboard with a windows logo,10,0,2,5,0,2,0,0
fujifilm instax mini 9,4,2,0,0,0,0,0,0
a person is holding onto a chain,7,0,2,4,0,1,1,0
a piggy bank with a deer and tree design,9,1,1,4,0,1,0,1
pickbay christian pick set 6 picks,6,1,2,0,1,0,1,1
a bird with a red beak,6,1,1,3,1,1,0,0
a black and white photo of balls floating in the air,11,0,2,4,2,1,1,0
a close up of a plant with a flower,9,0,2,5,0,2,0,0
a pineapple plant,3,1,0,1,0,0,0,0
a multi colored necklace with a bell on it,9,1,2,3,2,2,0,0
a group of batman products,5,0,1,2,0,0,0,0
a bee on a sunflower,5,1,1,2,0,1,0,0
a waffle with chocolate sauce,5,1,1,2,0,1,0,0
a close up of a roof with many different colors,10,0,2,6,2,2,0,0
a bird with a long beak standing on a rock,10,1,2,4,1,2,1,0
a black and white photo of a button on a car,11,0,2,5,2,1,0,0
a row of vending machines on a narrow street,9,1,2,3,1,1,1,0
a close up of a rooster with a red head,10,1,2,5,1,2,0,0
a hat with blue and white flowers on it,9,0,2,3,2,2,0,0
a large ornate pipe organ in a church,8,1,1,2,1,1,0,0
a display of shoes in a store window,8,0,2,3,0,1,0,0
a computer monitor with a group of children sitting at a desk,12,0,3,6,0,2,1,0
a pillow with music notes and a girl playing the piano,11,1,2,5,0,1,1,0
a person wearing a scuba suit and holding a camera,10,1,2,4,0,0,2,0
a large organ with many pipes and a bench,9,1,1,5,2,1,0,0
a red purse made from tape measures,7,1,1,2,1,1,1,0
"a pizza with olives, cheese and bread",7,2,1,3,0,1,0,0
great grey owl by jimmy kirk,6,2,1,2,1,1,0,1
a black and white photo of a building with a flag pole,12,0,2,6,2,1,0,0
a black and white vase with cotton flowers,8,1,1,3,2,1,0,0
a plate of cake and a cup of coffee on a table,12,0,3,6,0,1,0,0
dreaming pearls by julie,4,2,2,1,0,1,1,0
a black and white photo of the sydney opera house,10,0,1,4,2,0,0,1
a woman wearing sunglasses,4,1,1,1,0,0,1,0
a black and white photo of pretzels,7,1,1,3,2,0,0,0
a statue of a man with a hat on,9,0,2,5,0,2,0,0
a table with a fruit in front of it,9,0,3,4,0,3,0,0
a close up of a bullet with a blue eye,10,0,2,5,1,2,0,0
a green binder with a book inside,7,1,1,3,1,2,0,0
a monarch butterfly emerging from its chrysalis,7,3,1,3,0,1,1,0
a woman laying on a log in the water,9,0,2,3,0,2,1,0
a street light with a cross on it,8,0,2,3,0,2,0,0
"penguin books, penguin books, penguin books, penguin books, penguin books",10,9,0,0,0,0,0,0
a row of toilets in a alley,7,2,2,3,0,1,0,0
two golden retriever puppies playing in the mud,8,2,1,1,1,1,1,0
a black and white vase with a pattern on it,10,1,2,4,2,2,0,0
what heaven said by moody,5,1,3,4,0,1,1,0
a dog with a white and black coat,8,0,1,4,2,1,0,0
a stack of cassettes,4,1,1,2,0,0,0,0
a man wearing sunglasses,4,1,1,1,0,0,1,0
"a table with bowls of dip, vegetables, and chips",9,3,2,4,0,1,0,0
a person holding a cell phone,6,0,1,2,0,0,1,0
a pumpkin carved with a face and a candle,9,3,1,5,0,1,1,0
a fly with large eyes and red eyes sitting on an orange surface,13,0,2,4,3,2,1,0
a view of a city,5,0,1,3,0,0,0,0
a man holding a lizard in his hand,8,1,2,2,0,1,1,0
a green beetle on a piece of wood,8,1,2,3,1,1,0,0
a lemur looking up at the sky,7,1,1,3,1,2,1,0
a crocheted towel with a dress on it,8,2,2,3,1,2,1,0
"anemonia, clown fish, maldives, indonesia, indonesia, ind",7,9,0,0,1,0,0,2
a large bird flying in the sky,7,0,1,2,1,1,1,0
a wooden bathtub with a metal stand,7,1,1,3,1,1,0,0
a red and gray bird,5,0,0,2,2,0,0,0
a mother flamingo and her baby,6,1,0,2,0,0,0,0
lab series tinted moisturizer spf 30,6,3,2,0,0,0,1,0
a dog with its mouth open,6,0,2,3,1,1,0,0
a goldfish in a small aquarium with some rocks and plants,11,2,2,5,1,2,0,0
a black ribbon with pearls and beads on it,9,3,2,3,1,2,0,0
a matchstick with red paint on it,7,1,2,2,1,2,0,0
a pink fabric with a lace on it,8,1,2,3,1,2,0,0
a radiator is sitting in front of a window,9,1,3,4,0,2,1,0
a necklace with a chain and a metal pin,9,1,1,5,0,1,0,0
a black and white photo of a knife and a note,11,0,1,6,2,0,0,0
a plate of spaghetti with bacon and cheese,8,1,2,4,0,1,0,0
a small bird on a button,6,0,1,2,1,1,0,0
a cat looking up at a wall,7,0,1,3,0,2,1,0
a person holding a popsicle with a cow in the background,11,1,3,5,0,2,1,0
a piece of wood with a nail on it and a piece of paper,14,0,4,7,0,2,0,0
a black and white photo of an elephant walking in a field,12,0,2,5,2,1,1,0
a red basket sitting on the side of a pole,10,0,2,4,1,1,1,0
a rooster with a red head,6,1,1,3,1,1,0,0
a cat is sitting on a bed,7,0,2,3,0,1,1,0
a plate of spaghetti with bacon and basil,8,2,2,4,0,1,0,1
a green knitted shawl with a flower on it,9,2,2,3,2,2,1,0
a black swan sitting on a nest,7,1,1,2,1,1,1,0
a rusty old wheelbarrow sitting in the grass,8,2,2,2,2,1,1,0
a bathroom with graffiti on the wall and a toilet with two rolls of toilet paper,16,1,4,7,0,3,0,1
a white bird standing in the water near rocks,9,0,2,2,1,2,1,0
a cicada on the ground,5,1,1,2,0,1,0,0
a man tying his shoes,5,1,1,1,0,0,1,0
a pile of packets of pepper spray,7,1,2,3,0,0,0,0
a monkey with a baby on a branch,8,0,2,4,0,2,0,0
a group of beehives sitting on a bench,8,1,2,3,0,1,1,0
bread on a shelf,4,0,1,1,0,1,0,0
a small bird sitting on a branch with leaves,9,0,2,3,1,2,1,0
a person is flying a parachute in the sky,9,1,3,4,0,1,1,0
two birds are standing in the water,7,0,2,2,0,1,1,0
a black and white dog,5,0,0,2,2,0,0,0
a woman playing a violin,5,1,1,2,0,0,1,0
a parrot with a colorful beak,6,3,1,3,1,1,0,0
a table with a bunch of vegetables and a jug of juice,12,1,3,7,0,1,0,0
a small black and white dog sleeping on a person's lap,12,0,1,3,3,1,1,0
two dogs sitting on a gray background,7,0,1,1,1,1,1,0
a close up of a silver box with intricate designs,10,1,2,5,1,2,0,0
a birdhouse on a stand next to a bed,9,1,2,4,1,3,0,0
a spiral staircase with a light shining through the top,10,3,2,4,1,2,1,0
a silver and black camera,5,0,0,2,2,0,0,0
a purple flower with green leaves,6,0,1,2,2,1,0,0
a spider on a leaf,5,0,1,2,0,1,0,0
a mannequin wearing a rainbow colored feather,7,2,1,2,0,0,2,0
a black sub speaker with a red button,8,0,1,3,2,1,0,0
a gray owl sitting on a branch,7,1,1,2,1,1,1,0
a dog with its tongue out,6,0,1,3,0,2,0,0
a telephone sitting in the grass,6,0,1,2,0,1,1,0
a street light is shown in the dark,8,0,1,3,0,1,1,0
a black and white electronic device with a time and date,11,0,1,5,3,1,0,0
a man in a swimming pool with his mouth open,10,0,3,3,1,2,0,0
a man in a red and blue suit holding a parachute,11,1,2,4,2,1,1,0
a small tree in front of a house,8,0,2,3,1,2,0,0
a telephone on a desk,5,0,1,2,0,1,0,0
a bridge with a large tower in the background,9,0,2,4,1,2,0,0
a large rock in the woods,6,0,1,2,1,1,0,0
a black and white bird standing on a wooden platform,10,0,1,3,3,1,1,0
a woman wearing black high heels and a pair of suspenders,11,1,2,4,2,0,1,0
a row of wine bottles,5,0,1,2,0,0,0,0
a woman holding a glass of wine,7,0,2,3,0,0,1,0
a ram with large horns standing in a field,9,1,2,3,1,2,1,0
a vase with feathers in it,6,2,2,2,0,2,0,0
a group of men playing beach volleyball,7,1,2,2,0,0,1,0
a room full of old computers and other electronics,9,0,1,4,3,0,0,0
a blue and black dragonfly,5,1,0,2,2,0,0,0
a blue pen on a table,6,0,1,2,1,1,0,0
a man wearing a neck brace,6,1,1,2,0,0,1,0
a pink knitted cardigan hanging on a wooden hanger,9,3,1,2,3,1,2,0
tomato soup in a can,5,1,1,1,0,1,0,1
a glass of orange juice sitting on a table,9,0,2,3,0,1,1,0
a zipper case with a monkey on it,8,1,2,3,0,2,0,0
a woman playing a banjo on a pile of clothes,10,1,3,4,0,1,1,0
a person is sewing a red shirt,7,1,2,3,1,0,1,0
a dog is playing with a puppy in a field,10,0,3,5,0,2,1,0
a dog sitting on a bed,6,0,1,2,0,1,1,0
coffee mugs are lined up on a shelf,8,1,1,2,0,2,1,0
a brown butterfly on a yellow flower in the grass,10,1,2,3,2,2,0,0
a snake curled up in the grass,7,1,2,2,0,2,1,0
a glass of liquid sitting on a table,8,0,2,3,0,1,1,0
a blue and white flower on a velvet flower,9,1,1,3,3,1,0,0
a woman in a pink dress posing for a picture,10,1,2,4,1,1,0,0
a car parked on the side of the road,9,1,2,4,0,1,1,0
a starfish on a rock,5,1,1,2,0,1,0,0
a large bird flying in the sky,7,0,1,2,1,1,1,0
a pencil is stuck in the middle of a pile of colored pencils,13,2,3,6,1,1,1,0
"yellow sea anemone, koh phangan, philippines",6,5,0,0,1,0,0,2
a person holding a finger with a sticker on it,10,1,3,4,0,2,1,0
a pair of brown shoes,5,0,1,2,1,0,0,0
a seagull flying in the blue sky,7,1,1,2,1,1,1,0
a metal strainer with a hole in it,8,1,2,3,0,2,0,0
a flower with dried up petals and thorns,8,2,1,3,1,2,1,0
a black and white photo of tools hanging on a wall,11,0,2,4,2,1,1,0
a brown vase with a striped design on it,9,2,2,3,2,2,1,0
a keyboard on a computer,5,0,1,2,0,1,0,0
a black and silver oil filter,6,0,0,2,2,0,0,0
a pillow on a white bench,6,1,1,2,1,1,0,0
a fly with red eyes sitting on a branch,9,0,2,3,1,2,1,0
a nautilus shell on a rock by the ocean,9,1,2,4,1,2,0,0
a close up of a fish with a face,9,0,2,5,0,2,0,0
two women in dresses,4,0,1,0,0,1,0,0
a clock with a blue face and white numbers,9,0,1,4,2,1,0,0
a person wearing black socks,5,0,1,1,1,0,1,0
a rooster with bright red feathers stands in front of a gray background,13,2,4,4,3,3,1,0
a colorful bird eating a flower,6,1,1,2,1,0,1,0
a black leather binder with a gold clasp,8,2,1,3,1,1,0,0
a black and white bird sitting on a pole,9,0,1,3,2,1,1,0
a close up of a plant with berries,8,1,2,4,0,2,0,0
a yellow squash on a table,6,1,1,2,1,1,0,0
a woman in a trench coat standing in front of a garage door,13,1,3,4,0,3,1,0
two ducks are in the water,6,1,2,2,0,1,0,0
a black round object with the word tnx on it,10,1,3,3,2,2,0,0
a hot dog with ketchup and mustard on a napkin,10,3,2,4,1,2,0,0
a pan with food in it,6,0,2,2,0,2,0,0
a small bag with a pin on it,8,0,2,3,1,2,0,0
a black beetle with a green and blue ball,9,1,1,4,3,1,0,0
a necklace with a black cord,6,2,1,3,1,1,0,0
a spider on a rock,5,0,1,2,0,1,0,0
a little girl is looking at a person,8,0,2,4,1,1,1,0
a dog is walking on a green field,8,0,2,3,1,1,1,0
a rooster with a red comb,6,2,1,3,1,1,0,0
a small dog is walking in the grass,8,0,2,3,1,1,1,0
a church with a wooden ceiling and pews,8,1,1,4,1,1,0,0
a person wearing a red cowboy boot,7,1,1,2,1,0,1,0
a wooden shield with a metal helmet on top of it,11,0,3,4,1,3,0,0
a pink soap dispenser,4,1,0,1,1,0,0,0
a view of a city from a window,8,0,2,5,0,1,0,0
a black and white photo of a lock,8,0,1,4,2,0,0,0
a black dog standing in front of a wall,9,0,2,3,1,2,1,0
a red plate with two bagels and a cup of coffee,11,1,2,5,1,1,0,0
a small lizard on the ground,6,1,1,2,1,1,0,0
a shelf with many piggy bank jars,7,2,1,3,1,1,0,1
man shaving another man,4,1,2,0,0,0,1,0
a pink liquid soap dispenser with a white pump,9,1,1,3,3,1,0,0
a woman with a long neck and a gold necklace,10,1,1,5,1,1,0,0
a mushroom growing in the grass,6,1,1,2,0,1,1,0
a white and yellow fish swimming in the water,9,0,1,3,2,1,0,0
a closet with a bunch of clothes hanging on a rack,11,1,3,5,0,2,1,0
a yellow and green snake with its mouth open,9,0,2,4,3,1,0,0
a woman wearing a red and black blanket,8,0,1,3,2,0,1,0
a white piece of paper,5,0,1,2,1,0,0,0
a train on the tracks,5,0,1,2,0,1,0,0
a fake dinosaur head is sitting in a bush,9,1,2,4,1,1,1,1
a camera lens is on a tripod in black and white,11,1,2,4,2,2,0,0
a bird perched on a branch,6,1,1,2,0,1,1,0
a close up of a fruit with water droplets on it,11,1,3,4,0,3,0,0
a duck is sitting on the water,7,0,2,3,0,1,1,0
the car is in the shop for a week,9,0,3,5,0,1,0,0
a white poodle standing on a table,7,1,1,2,1,1,1,0
a chicken standing in the grass,6,0,1,2,0,1,1,0
a large room with many pipes and pipes,8,2,1,4,2,1,0,0
a black and white tool,5,0,0,2,2,0,0,0
a piggy bank with a leaf on it,8,1,2,3,0,2,0,1
